Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T001_003,SE_T001_004,deaths,SE_NV002_002,SE_NV002_003,SE_NV002_004,,,SE_NV003_003,SE_NV003_004,2008,
1001,Autauga County,"Autauga County, Alabama",1,1,164.4,186.5,193.6,187.4,87,298,505,667,51135,159817,260821,355987,2008,54135
4001,Apache County,"Apache County, Arizona",4,1,109.8,111.2,109.9,114.3,40,234,383,554,68008,210493,348404,484637,2008,71008
5001,Arkansas County,"Arkansas County, Arkansas",5,1,287.4,278.3,271.6,274.1,190,161,265,377,16134,57843,97582,137530,2008,19134
6001,Alameda County,"Alameda County, California",6,1,147,146.8,148,150.2,0,6506,10831,15343,1495539,4431462,7317491,10217375,2008,1498539
8001,Adams County,"Adams County, Colorado",8,1,119.6,123.9,124.1,122.9,277,1581,2578,3492,432700,1276359,2078080,2840353,2008,435700
9001,Fairfield County,"Fairfield County, Connecticut",9,1,164.8,171.1,175.9,179.6,132,4639,7927,11311,907421,2711743,4505650,6299464,2008,910421
10001,Kent County,"Kent County, Delaware",10,1,211.8,211.2,207.2,207.4,124,997,1588,2157,157081,471975,766264,1040211,2008,160081
11001,District of Columbia,"District of Columbia, District of Columbia",11,1,191,197.1,200.1,200.1,169,3443,5772,8046,589228,1746868,2884685,4020941,2008,592228
12001,Alachua County,"Alachua County, Florida",12,1,164.6,164.8,163.5,161.6,212,1210,1974,2689,243657,734230,1207492,1664381,2008,246657
13001,Appling County,"Appling County, Georgia",13,1,159.8,165.9,184.9,192.4,6,90,166,241,15144,54262,89756,125228,2008,18144
15001,Hawaii County,"Hawaii County, Hawaii",15,1,185.2,186.6,184.3,186,226,1013,1630,2243,180629,542868,884641,1205935,2008,183629
16001,Ada County,"Ada County, Idaho",16,1,136.4,134.3,138.7,140.7,285,1540,2579,3548,385577,1146563,1858816,2521135,2008,388577
17001,Adams County,"Adams County, Illinois",17,1,223.8,234.9,250.8,250.7,23,472,840,1176,64039,200925,334951,469036,2008,67039
18001,Adams County,"Adams County, Indiana",18,1,183.4,183.4,182.1,185.8,51,188,310,442,31351,102527,170281,237849,2008,34351
19001,Adair County,"Adair County, Iowa",19,1,260.6,287.6,286.1,295.2,293,67,112,163,4676,23294,39150,55219,2008,7676
20001,Allen County,"Allen County, Kansas",20,1,283.4,237.8,271.6,278.2,61,96,184,266,10407,40374,67746,95609,2008,13407
21001,Adair County,"Adair County, Kentucky",21,1,272.3,213.4,215.8,216.9,62,119,199,278,15729,55763,92226,128144,2008,18729
22001,Acadia Parish,"Acadia Parish, Louisiana",22,1,255.5,241.6,237,236.1,172,443,719,996,58451,183328,303374,421791,2008,61451
23001,Androscoggin County,"Androscoggin County, Maine",23,1,205,216.5,217.8,222.3,153,701,1174,1672,104830,323853,539137,752144,2008,107830
24001,Allegany County,"Allegany County, Maryland",24,1,267.6,256.5,258,259.9,165,575,960,1353,72101,224188,372147,520631,2008,75101
25001,Barnstable County,"Barnstable County, Massachusetts",25,1,322.7,322.5,320.6,323.8,285,2101,3506,4998,212994,651440,1093472,1543747,2008,215994
26001,Alcona County,"Alcona County, Michigan",26,1,333.2,328.4,334.4,346,171,111,190,276,8106,33804,56824,79778,2008,11106
27001,Aitkin County,"Aitkin County, Minnesota",27,1,309.3,283.3,292.9,288.3,121,139,239,327,13168,49071,81590,113413,2008,16168
28001,Adams County,"Adams County, Mississippi",28,1,244.5,254.5,251,244.4,185,249,411,562,29305,97823,163717,229984,2008,32305
29001,Adair County,"Adair County, Missouri",29,1,156.4,167.2,186.8,183.8,265,127,235,323,22577,75959,125815,175761,2008,25577
30001,Beaverhead County,"Beaverhead County, Montana",30,1,,200.8,185.4,186.9,185,55,84,118,6200,27394,45310,63142,2008,9200
31001,Adams County,"Adams County, Nebraska",31,1,211,207.9,217.1,217.9,264,194,337,472,28280,93332,155229,216662,2008,31280
32001,Churchill County,"Churchill County, Nevada",32,1,263.3,243.7,249.8,244.3,207,183,311,422,22067,75077,124512,172764,2008,25067
33001,Belknap County,"Belknap County, New Hampshire",33,1,279.2,248.7,251.6,253.2,213,449,757,1065,57171,180519,300911,420578,2008,60171
34001,Atlantic County,"Atlantic County, New Jersey",34,1,216.4,218.5,227.8,229.2,272,1790,3102,4337,271049,819366,1361457,1892465,2008,274049
35001,Bernalillo County,"Bernalillo County, New Mexico",35,1,155.5,157,156.3,157.8,4,3048,4979,6902,652279,1941136,3185088,4372586,2008,655279
36001,Albany County,"Albany County, New York",36,1,201.8,203.5,207.8,207.1,243,1857,3157,4395,301733,912330,1519118,2122376,2008,304733
37001,Alamance County,"Alamance County, North Carolina",37,1,222.7,216.6,216.6,216.8,58,958,1566,2161,146954,442370,723143,996771,2008,149954
38001,Adams County,"Adams County, North Dakota",38,1,,327.2,364.4,347.2,227,23,43,58,-675,7030,11801,16706,2008,2325
39001,Adams County,"Adams County, Ohio",39,1,291.2,256.6,245,242.3,237,220,350,483,25500,85724,142861,199300,2008,28500
40001,Adair County,"Adair County, Oklahoma",40,1,249.1,227.8,237.3,229.4,69,153,264,354,19477,67168,111270,154304,2008,22477
41001,Baker County,"Baker County, Oregon",41,1,314.3,333.6,331.9,308.9,244,162,268,350,13225,48559,80739,113323,2008,16225
42001,Adams County,"Adams County, Pennsylvania",42,1,197.5,205.1,198.7,206,73,621,996,1430,98252,302810,501315,694118,2008,101252
44001,Bristol County,"Bristol County, Rhode Island",44,1,239.6,226.8,224.5,231.7,253,344,571,830,47075,151657,254320,358191,2008,50075
45001,Abbeville County,"Abbeville County, South Carolina",45,1,249.9,247.9,235.1,232.6,171,191,303,422,22614,77058,128874,181415,2008,25614
47001,Anderson County,"Anderson County, Tennessee",47,1,263.9,281.2,279.8,272.4,239,627,1030,1393,72031,223008,368165,511360,2008,75031
48001,Anderson County,"Anderson County, Texas",48,1,241.4,256,252.3,268,263,446,728,1074,55410,174243,288502,400815,2008,58410
49001,Beaver County,"Beaver County, Utah",49,1,,140.4,167.2,187.1,47,27,53,82,3552,19231,31704,43820,2008,6552
50001,Addison County,"Addison County, Vermont",50,1,206.3,179.9,179.3,182.9,207,199,330,470,33847,110638,184007,257019,2008,36847
51001,Accomack County,"Accomack County, Virginia",51,1,320.2,331.6,312.2,308.9,298,338,540,760,30415,101938,172965,246017,2008,33415
53001,Adams County,"Adams County, Washington",53,1,146.7,136.2,144,143.2,277,73,126,173,15405,53600,87515,120791,2008,18405
54001,Barbour County,"Barbour County, West Virginia",54,1,297.3,287.1,261.2,264.2,136,140,210,295,13479,48756,80400,111668,2008,16479
