Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T001_003,SE_T001_004,SE_NV002_001,SE_NV002_002,SE_NV002_003,SE_NV002_004,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_NV003_004
01001,Autauga County,"Autauga County, Alabama",01,001,164.4,186.5,193.6,187.4,89,298,505,667,54135,159817,260821,355987
04001,Apache County,"Apache County, Arizona",04,001,109.8,111.2,109.9,114.3,78,234,383,554,71008,210493,348404,484637
05001,Arkansas County,"Arkansas County, Arkansas",05,001,287.4,278.3,271.6,274.1,55,161,265,377,19134,57843,97582,137530
06001,Alameda County,"Alameda County, California",06,001,147,146.8,148,150.2,2203,6506,10831,15343,1498539,4431462,7317491,10217375
08001,Adams County,"Adams County, Colorado",08,001,119.6,123.9,124.1,122.9,521,1581,2578,3492,435700,1276359,2078080,2840353
09001,Fairfield County,"Fairfield County, Connecticut",09,001,164.8,171.1,175.9,179.6,1500,4639,7927,11311,910421,2711743,4505650,6299464
10001,Kent County,"Kent County, Delaware",10,001,211.8,211.2,207.2,207.4,339,997,1588,2157,160081,471975,766264,1040211
11001,District of Columbia,"District of Columbia, District of Columbia",11,001,191,197.1,200.1,200.1,1131,3443,5772,8046,592228,1746868,2884685,4020941
12001,Alachua County,"Alachua County, Florida",12,001,164.6,164.8,163.5,161.6,406,1210,1974,2689,246657,734230,1207492,1664381
13001,Appling County,"Appling County, Georgia",13,001,159.8,165.9,184.9,192.4,29,90,166,241,18144,54262,89756,125228
15001,Hawaii County,"Hawaii County, Hawaii",15,001,185.2,186.6,184.3,186,340,1013,1630,2243,183629,542868,884641,1205935
16001,Ada County,"Ada County, Idaho",16,001,136.4,134.3,138.7,140.7,530,1540,2579,3548,388577,1146563,1858816,2521135
17001,Adams County,"Adams County, Illinois",17,001,223.8,234.9,250.8,250.7,150,472,840,1176,67039,200925,334951,469036
18001,Adams County,"Adams County, Indiana",18,001,183.4,183.4,182.1,185.8,63,188,310,442,34351,102527,170281,237849
19001,Adair County,"Adair County, Iowa",19,001,260.6,287.6,286.1,295.2,20,67,112,163,7676,23294,39150,55219
20001,Allen County,"Allen County, Kansas",20,001,283.4,237.8,271.6,278.2,38,96,184,266,13407,40374,67746,95609
21001,Adair County,"Adair County, Kentucky",21,001,272.3,213.4,215.8,216.9,51,119,199,278,18729,55763,92226,128144
22001,Acadia Parish,"Acadia Parish, Louisiana",22,001,255.5,241.6,237,236.1,157,443,719,996,61451,183328,303374,421791
23001,Androscoggin County,"Androscoggin County, Maine",23,001,205,216.5,217.8,222.3,221,701,1174,1672,107830,323853,539137,752144
24001,Allegany County,"Allegany County, Maryland",24,001,267.6,256.5,258,259.9,201,575,960,1353,75101,224188,372147,520631
