Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T001_003,SE_T001_004,SE_NV002_001,SE_NV002_002,SE_NV002_003,SE_NV002_004,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_NV003_004
01001,Autauga County,"Autauga County, Alabama",,01,001,214.4,169.9,178.9,185.1,119,281,488,697,55514,165352,272764,376497
04001,Apache County,"Apache County, Arizona",,04,001,131.2,133.6,127.1,121.3,96,290,455,603,73195,217114,358005,496997
05001,Arkansas County,"Arkansas County, Arkansas",,05,001,264.7,276.4,283.6,270.8,50,157,270,364,18892,56803,95212,134431
06001,Alameda County,"Alameda County, California",,06,001,149.1,146.6,146.3,147,2318,6736,11078,15394,1554720,4594866,7570613,10470812
08001,Adams County,"Adams County, Colorado",,08,001,126,124,123.8,123.8,579,1677,2740,3757,459598,1352644,2213257,3035578
09001,Fairfield County,"Fairfield County, Connecticut",,09,001,163.7,166.7,168.3,170.6,1529,4629,7725,10889,933835,2776563,4590808,6384560
10001,Kent County,"Kent County, Delaware",,10,001,227.9,215.7,215.1,210.8,382,1067,1748,2353,167626,494770,812776,1116449
11001,District of Columbia,"District of Columbia, District of Columbia",,11,001,171,172.4,180.7,187.4,1081,3192,5466,7813,632323,1852042,3024506,4169591
12001,Alachua County,"Alachua County, Florida",,12,001,167.5,170.8,167.7,167.6,421,1278,2079,2886,251417,748118,1239663,1721854
13001,Appling County,"Appling County, Georgia",,13,001,196,209,195,188.2,36,115,178,239,18368,55024,91301,127011
15001,Hawaii County,"Hawaii County, Hawaii",,15,001,178.1,182.4,183.1,185.8,337,1023,1696,2374,189191,561008,926143,1277412
16001,Ada County,"Ada County, Idaho",,16,001,129.3,136.2,135.7,135.5,529,1637,2678,3676,409061,1202268,1973463,2712329
17001,Adams County,"Adams County, Illinois",,17,001,232.2,235.8,233.4,239,156,475,783,1122,67197,201459,335441,469490
18001,Adams County,"Adams County, Indiana",,18,001,180.4,189.1,186.4,184.9,62,195,320,443,34365,103122,171687,239536
19001,Adair County,"Adair County, Iowa",,19,001,280.7,286.5,278.1,296.8,21,65,106,160,7481,22690,38113,53908
20001,Allen County,"Allen County, Kansas",,20,001,255.3,242.4,242.3,251,34,97,162,236,13319,40021,66850,94034
21001,Adair County,"Adair County, Kentucky",,21,001,219.5,239.2,242.3,225.2,41,134,226,293,18675,56017,93287,130115
22001,Acadia Parish,"Acadia Parish, Louisiana",,22,001,234.2,247.8,248.2,242.6,145,460,765,1042,61912,185667,308233,429517
23001,Androscoggin County,"Androscoggin County, Maine",,23,001,224.9,238.3,224.9,226.1,242,769,1212,1706,107609,322709,538823,754494
24001,Allegany County,"Allegany County, Maryland",,24,001,214.8,233.7,242,245.6,159,523,904,1282,74012,223791,373530,521959
25001,Barnstable County,"Barnstable County, Massachusetts",,25,001,310.1,317.3,319.9,322.3,668,2053,3455,4895,215423,647080,1080140,1518557
26001,Alcona County,"Alcona County, Michigan",,26,001,479.5,426.2,388.9,373.3,51,138,213,290,10635,32377,54769,77684
27001,Aitkin County,"Aitkin County, Minnesota",,27,001,301.4,302,296.5,294.4,48,146,240,335,15927,48349,80939,113777
28001,Adams County,"Adams County, Mississippi",,28,001,302,281.9,263.9,271.6,97,272,426,618,32122,96486,161420,227529
29001,Adair County,"Adair County, Missouri",,29,001,168.1,166.8,158.2,172.8,43,128,202,307,25581,76740,127716,177706
30001,Beaverhead County,"Beaverhead County, Montana",,30,001,214,151.1,160.3,172.9,20,42,74,111,9346,27790,46156,64196
31001,Adams County,"Adams County, Nebraska",,31,001,197.1,188.2,195.6,200.2,62,177,306,437,31459,94039,156479,218281
32001,Churchill County,"Churchill County, Nevada",,32,001,246.2,253.1,248.4,254.9,60,187,308,443,24375,73889,124005,173808
